Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,567649021,shepp3030,0,293.75,PG John Wall SG Evan Turner SF Tony Snell PF Gorgui Dieng C Karl-Anthony Towns F Andrew Wiggins G Jimmy Butler UTIL Ersan Ilyasova,,Jerian Grant,52.17%,17.25
2,567632848,bornverified,0,274.5,PG John Wall SG Justin Holiday SF Carmelo Anthony PF Kristaps Porzingis C Hassan Whiteside F Andrew Wiggins G Courtney Lee UTIL James Johnson,,Hassan Whiteside,47.83%,52.25
3,567648981,HeavyT,0,268.5,PG Jerian Grant SG James Harden SF Otto Porter PF Gorgui Dieng C Trey Lyles F Jimmy Butler G Ricky Rubio UTIL John Henson,,Andrew Wiggins,47.83%,57
4,567649035,D0X5,0,265.75,PG C.J. McCollum SG Jimmy Butler SF Jabari Parker PF Kristaps Porzingis C Hassan Whiteside F Trey Lyles G Eric Gordon UTIL John Henson,,Kristaps Porzingis,39.13%,35.75
5,567649085,DougieFresh1995,0,261.5,PG Ricky Rubio SG Dwyane Wade SF Andrew Wiggins PF Gorgui Dieng C Clint Capela F Jabari Parker G Evan Turner UTIL Hassan Whiteside,,Trey Lyles,39.13%,20
6,567641900,AntsTwin,0,258,PG Ricky Rubio SG Rodney Hood SF Andrew Wiggins PF Kristaps Porzingis C Hassan Whiteside F Otto Porter G Courtney Lee UTIL Clint Capela,,Carmelo Anthony,34.78%,29.25
7,567649007,GoBlue84,0,257,PG Jerian Grant SG C.J. McCollum SF Trevor Ariza PF Kristaps Porzingis C Hassan Whiteside F Andrew Wiggins G Zach LaVine UTIL Joakim Noah,,Zach LaVine,30.43%,18.5
8,567642322,zbark2,0,254.75,PG Jerian Grant SG C.J. McCollum SF Andrew Wiggins PF Trey Lyles C Hassan Whiteside F Carmelo Anthony G Ricky Rubio UTIL Clint Capela,,Ricky Rubio,30.43%,15
9,567649015,tsfrederick333,0,251.5,PG Damian Lillard SG C.J. McCollum SF Trevor Ariza PF Meyers Leonard C Mason Plumlee F Montrezl Harrell G James Harden UTIL John Henson,,C.J. McCollum,30.43%,34.25
10,567642301,molitor,0,249.5,PG Jerian Grant SG Jimmy Butler SF Andrew Wiggins PF Trey Lyles C Clint Capela F Trevor Ariza G Zach LaVine UTIL Damian Lillard,,Jimmy Butler,30.43%,45.5
11,567626964,spiethwillwin,0,246.5,PG James Harden SG C.J. McCollum SF Jimmy Butler PF Kristaps Porzingis C Clint Capela F Meyers Leonard G Jerian Grant UTIL Boris Diaw,,Clint Capela,30.43%,29.75
12,567632895,dada829,0,243.75,PG Giannis Antetokounmpo SG Rodney Hood SF Josh Richardson PF Trey Lyles C Hassan Whiteside F Jimmy Butler G Jerian Grant UTIL Trevor Ariza,,Trevor Ariza,30.43%,28.75
13,567648973,m_t_clark,0,243.5,PG Ricky Rubio SG C.J. McCollum SF Carmelo Anthony PF Trey Lyles C Marcin Gortat F Andrew Wiggins G Derrick Rose UTIL Rodney Hood,,Giannis Antetokounmpo,26.09%,34.25
14,567649001,dstrader66,0,239.5,PG Giannis Antetokounmpo SG Rodney Hood SF Carmelo Anthony PF Trey Lyles C Hassan Whiteside F Kristaps Porzingis G Jerian Grant UTIL Clint Capela,,Jabari Parker,21.74%,25.5
15,567648521,MG_17,0,238.75,PG Giannis Antetokounmpo SG Zach LaVine SF James Johnson PF Kristaps Porzingis C Joel Embiid F Gordon Hayward G Derrick Rose UTIL Eric Gordon,,Rodney Hood,21.74%,21
16,567648459,KingStinson187,0,234.75,PG Giannis Antetokounmpo SG Courtney Lee SF Andrew Wiggins PF Trey Lyles C Joel Embiid F Gordon Hayward G Jerian Grant UTIL Karl-Anthony Towns,,Gorgui Dieng,21.74%,33.5
