Position, Name, Salary, GameInfo, AvgPointsPerGame, teamAbbrev
PF, DeMarcus Cousins, 10400, Sac@NY 07:30PM ET, 52.034, Sac
PF, Anthony Davis, 9700, LAC@NO 06:00PM ET, 46.816, NO
SF, Giannis Antetokounmpo, 9600, Uta@Mil 07:00PM ET, 36.739, Mil
PG, Chris Paul, 9500, LAC@NO 06:00PM ET, 44.706, LAC
PG, Damian Lillard, 9200, Por@Dal 04:00PM ET, 44.183, Por
SF, Carmelo Anthony, 8500, Sac@NY 07:30PM ET, 40.250, NY
PG, Kyle Lowry, 8200, Orl@Tor 04:30PM ET, 43.265, Tor
PF, Blake Griffin, 8200, LAC@NO 06:00PM ET, 43.567, LAC
PG, Jrue Holiday, 8000, LAC@NO 06:00PM ET, 31.790, NO
PG, Rajon Rondo, 7900, Sac@NY 07:30PM ET, 40.961, Sac
SG, DeMar DeRozan, 7800, Orl@Tor 04:30PM ET, 37.198, Tor
SG, Victor Oladipo, 7700, Orl@Tor 04:30PM ET, 31.762, Orl
C, DeAndre Jordan, 7600, LAC@NO 06:00PM ET, 38.062, LAC
PG, Isaiah Thomas, 7500, Bos@Phi 06:00PM ET, 37.659, Bos
PF, Derrick Favors, 7300, Uta@Mil 07:00PM ET, 34.912, Uta
C, Nikola Vucevic, 7200, Orl@Tor 04:30PM ET, 36.776, Orl
SF, Gordon Hayward, 6900, Uta@Mil 07:00PM ET, 34.402, Uta
PF, Nerlens Noel, 6900, Bos@Phi 06:00PM ET, 29.588, Phi
PF, Dirk Nowitzki, 6800, Por@Dal 04:00PM ET, 32.675, Dal
SG, Khris Middleton, 6800, Uta@Mil 07:00PM ET, 33.076, Mil
SG, Tyreke Evans, 6700, LAC@NO 06:00PM ET, 34.210, NO
SG, C.J. McCollum, 6600, Por@Dal 04:00PM ET, 34.199, Por
SF, Chandler Parsons, 6500, Por@Dal 04:00PM ET, 26.061, Dal
PF, Ryan Anderson, 6400, LAC@NO 06:00PM ET, 28.591, NO
SF, Rudy Gay, 6300, Sac@NY 07:30PM ET, 31.354, Sac
C, Rudy Gobert, 6300, Uta@Mil 07:00PM ET, 31.448, Uta
PG, Shelvin Mack, 6200, Uta@Mil 07:00PM ET, 14.442, Uta
PG, Ish Smith, 6100, Bos@Phi 06:00PM ET, 28.984, Phi
SF, Robert Covington, 5900, Bos@Phi 06:00PM ET, 25.826, Phi
SG, Rodney Hood, 5800, Uta@Mil 07:00PM ET, 25.112, Uta
PF, Aaron Gordon, 5800, Orl@Tor 04:30PM ET, 22.254, Orl
PF, Jabari Parker, 5800, Uta@Mil 07:00PM ET, 24.167, Mil
C, Jahlil Okafor, 5800, Bos@Phi 06:00PM ET, 30.429, Phi
PF, Kristaps Porzingis, 5700, Sac@NY 07:30PM ET, 30.114, NY
C, Greg Monroe, 5600, Uta@Mil 07:00PM ET, 34.429, Mil
SG, Evan Fournier, 5600, Orl@Tor 04:30PM ET, 25.238, Orl
SG, Evan Turner, 5500, Bos@Phi 06:00PM ET, 24.315, Bos
SF, Jae Crowder, 5500, Bos@Phi 06:00PM ET, 28.470, Bos
C, Robin Lopez, 5400, Sac@NY 07:30PM ET, 23.496, NY
PG, Norris Cole, 5400, LAC@NO 06:00PM ET, 21.828, NO
