"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",12000,"Phi@Hou 08:00PM ET",62.361,"Hou"
"PF/C","Anthony Davis",11300,"Bos@NO 08:00PM ET",56.775,"NO"
"PG","Russell Westbrook",10800,"OKC@Det 07:30PM ET",62.400,"OKC"
"SF","Kawhi Leonard",8900,"Mia@SA 08:30PM ET",42.025,"SA"
"PG","Chris Paul",8700,"Bkn@LAC 10:30PM ET",45.400,"LAC"
"PF","Blake Griffin",8400,"Bkn@LAC 10:30PM ET",41.950,"LAC"
"C","Hassan Whiteside",8100,"Mia@SA 08:30PM ET",43.469,"Mia"
"C","Andre Drummond",8000,"OKC@Det 07:30PM ET",39.875,"Det"
"SF","Paul George",7900,"Orl@Ind 07:00PM ET",39.167,"Ind"
"PG","Isaiah Thomas",7800,"Bos@NO 08:00PM ET",41.472,"Bos"
"SF","Gordon Hayward",7600,"Mem@Uta 09:00PM ET",41.700,"Uta"
"SF","Carmelo Anthony",7500,"Dal@NY 07:30PM ET",35.250,"NY"
"SF/PF","Harrison Barnes",7100,"Dal@NY 07:30PM ET",32.906,"Dal"
"SG","Avery Bradley",7000,"Bos@NO 08:00PM ET",38.639,"Bos"
"PF","Kristaps Porzingis",6900,"Dal@NY 07:30PM ET",32.472,"NY"
"PG/SG","J.J. Barea",6800,"Dal@NY 07:30PM ET",32.286,"Dal"
"PF/C","Myles Turner",6800,"Orl@Ind 07:00PM ET",32.500,"Ind"
"PG/SG","George Hill",6700,"Mem@Uta 09:00PM ET",34.643,"Uta"
"PF/C","LaMarcus Aldridge",6700,"Mia@SA 08:30PM ET",31.444,"SA"
"C","DeAndre Jordan",6600,"Bkn@LAC 10:30PM ET",31.300,"LAC"
"C","Marc Gasol",6500,"Mem@Uta 09:00PM ET",35.781,"Mem"
"PG","Jeff Teague",6400,"Orl@Ind 07:00PM ET",30.025,"Ind"
"PG","Jeremy Lin",6400,"Bkn@LAC 10:30PM ET",32.350,"Bkn"
"SG/SF","Tyreke Evans",6400,"Bos@NO 08:00PM ET",0,"NO"
"C","Joel Embiid",6300,"Phi@Hou 08:00PM ET",33.625,"Phi"
"PG","Mike Conley",6200,"Mem@Uta 09:00PM ET",35.844,"Mem"
"PG","Jrue Holiday",6200,"Bos@NO 08:00PM ET",0,"NO"
"C","Rudy Gobert",6100,"Mem@Uta 09:00PM ET",30.773,"Uta"
"C","Nikola Vucevic",6100,"Orl@Ind 07:00PM ET",31.625,"Orl"
"PG","Tim Frazier",6100,"Bos@NO 08:00PM ET",30.625,"NO"
"C","Al Horford",6100,"Bos@NO 08:00PM ET",30.667,"Bos"
"PG","Reggie Jackson",6000,"OKC@Det 07:30PM ET",0,"Det"
"PF","Derrick Favors",6000,"Mem@Uta 09:00PM ET",24.375,"Uta"
"C","Brook Lopez",6000,"Bkn@LAC 10:30PM ET",30.375,"Bkn"
"PG","Goran Dragic",6000,"Mia@SA 08:30PM ET",31.893,"Mia"
"SF/PF","Tobias Harris",5900,"OKC@Det 07:30PM ET",27.575,"Det"
"PG","Derrick Rose",5800,"Dal@NY 07:30PM ET",29.444,"NY"
"SG","Evan Fournier",5700,"Orl@Ind 07:00PM ET",27.375,"Orl"
"SF","Jae Crowder",5700,"Bos@NO 08:00PM ET",29.563,"Bos"
"PF","Ryan Anderson",5600,"Phi@Hou 08:00PM ET",24.639,"Hou"
"SG","Rodney Hood",5600,"Mem@Uta 09:00PM ET",28.773,"Uta"
"PG","Deron Williams",5600,"Dal@NY 07:30PM ET",28.650,"Dal"
"PG","Elfrid Payton",5600,"Orl@Ind 07:00PM ET",27.875,"Orl"
"C","Pau Gasol",5600,"Mia@SA 08:30PM ET",26.300,"SA"
"SF","Robert Covington",5500,"Phi@Hou 08:00PM ET",22.472,"Phi"
"SG/SF","C.J. Miles",5500,"Orl@Ind 07:00PM ET",23.825,"Ind"
"SG","Monta Ellis",5500,"Orl@Ind 07:00PM ET",25.550,"Ind"
"SG","Sean Kilpatrick",5500,"Bkn@LAC 10:30PM ET",27.639,"Bkn"
"PF","Trevor Booker",5500,"Bkn@LAC 10:30PM ET",30.000,"Bkn"
"PG/SG","Victor Oladipo",5400,"OKC@Det 07:30PM ET",24.525,"OKC"
