PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Russell Westbrook (7892793),Russell Westbrook,7892793,12600,OKC@Atl 07:30PM ET,OKC,
,,,,,,,,,PG/SG,James Harden (7892788),James Harden,7892788,11800,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,PF/C,Anthony Davis (7893058),Anthony Davis,7893058,11000,Mem@NO 08:00PM ET,NO,
,,,,,,,,,SF/PF,Kevin Durant (7892949),Kevin Durant,7892949,10200,Ind@GS 10:30PM ET,GS,
,,,,,,,,,SF/PF,LeBron James (7892955),LeBron James,7892955,9700,Cle@Tor 07:30PM ET,Cle,
,,,,,,,,,PG,Giannis Antetokounmpo (7892803),Giannis Antetokounmpo,7892803,9500,SA@Mil 08:00PM ET,Mil,
,,,,,,,,,PG,Stephen Curry (7892813),Stephen Curry,7892813,9000,Ind@GS 10:30PM ET,GS,
,,,,,,,,,PG,John Wall (7892816),John Wall,7892816,8900,Was@Bkn 07:30PM ET,Was,
,,,,,,,,,SG/SF,Jimmy Butler (7892875),Jimmy Butler,7892875,8500,Por@Chi 08:00PM ET,Chi,
,,,,,,,,,PG,Damian Lillard (7892806),Damian Lillard,7892806,8400,Por@Chi 08:00PM ET,Por,
,,,,,,,,,PG,Kyle Lowry (7892841),Kyle Lowry,7892841,8200,Cle@Tor 07:30PM ET,Tor,
,,,,,,,,,PG,Isaiah Thomas (7892823),Isaiah Thomas,7892823,8100,Bos@Hou 08:00PM ET,Bos,
,,,,,,,,,SF,Kawhi Leonard (7892990),Kawhi Leonard,7892990,8000,SA@Mil 08:00PM ET,SA,
,,,,,,,,,PF/C,Draymond Green (7893045),Draymond Green,7893045,8000,Ind@GS 10:30PM ET,GS,
,,,,,,,,,PF/C,Kevin Love (7893056),Kevin Love,7893056,7900,Cle@Tor 07:30PM ET,Cle,
,,,,,,,,,SF,Gordon Hayward (7893022),Gordon Hayward,7893022,7900,Uta@LAL 10:30PM ET,Uta,
,,,,,,,,,SG,DeMar DeRozan (7892932),DeMar DeRozan,7892932,7800,Cle@Tor 07:30PM ET,Tor,
,,,,,,,,,SF,Paul George (7892997),Paul George,7892997,7700,Ind@GS 10:30PM ET,Ind,
,,,,,,,,,C,Marc Gasol (7893153),Marc Gasol,7893153,7600,Mem@NO 08:00PM ET,Mem,
,,,,,,,,,PG,Kemba Walker (7892832),Kemba Walker,7892832,7500,Cha@Dal 08:30PM ET,Cha,
,,,,,,,,,PG,Kyrie Irving (7892842),Kyrie Irving,7892842,7300,Cle@Tor 07:30PM ET,Cle,
,,,,,,,,,PF,Paul Millsap (7893061),Paul Millsap,7893061,7200,OKC@Atl 07:30PM ET,Atl,
,,,,,,,,,C,Dwight Howard (7893108),Dwight Howard,7893108,7100,OKC@Atl 07:30PM ET,Atl,
,,,,,,,,,PF/C,Myles Turner (7893046),Myles Turner,7893046,7000,Ind@GS 10:30PM ET,Ind,
,,,,,,,,,SG,Bradley Beal (7892911),Bradley Beal,7892911,7000,Was@Bkn 07:30PM ET,Was,
,,,,,,,,,PG/SG,C.J. McCollum (7892785),C.J. McCollum,7892785,6900,Por@Chi 08:00PM ET,Por,
,,,,,,,,,PG,Jeff Teague (7892814),Jeff Teague,7892814,6900,Ind@GS 10:30PM ET,Ind,
,,,,,,,,,C,Joel Embiid (7893145),Joel Embiid,7893145,6900,Den@Phi 07:00PM ET,Phi,
,,,,,,,,,PG,Mike Conley (7892847),Mike Conley,7892847,6900,Mem@NO 08:00PM ET,Mem,
,,,,,,,,,PG/SG,George Hill (7892791),George Hill,7892791,6800,Uta@LAL 10:30PM ET,Uta,
,,,,,,,,,SG,Victor Oladipo (7892895),Victor Oladipo,7892895,6700,OKC@Atl 07:30PM ET,OKC,
,,,,,,,,,C,Al Horford (7893135),Al Horford,7893135,6700,Bos@Hou 08:00PM ET,Bos,
,,,,,,,,,SG,Klay Thompson (7892906),Klay Thompson,7892906,6600,Ind@GS 10:30PM ET,GS,
,,,,,,,,,SF/PF,Otto Porter (7892951),Otto Porter,7892951,6600,Was@Bkn 07:30PM ET,Was,
,,,,,,,,,SG/SF,Nicolas Batum (7892882),Nicolas Batum,7892882,6600,Cha@Dal 08:30PM ET,Cha,
,,,,,,,,,SF,Wilson Chandler (7893009),Wilson Chandler,7893009,6600,Den@Phi 07:00PM ET,Den,
,,,,,,,,,PG,Rajon Rondo (7892805),Rajon Rondo,7892805,6500,Por@Chi 08:00PM ET,Chi,
,,,,,,,,,SG,Dwyane Wade (7892902),Dwyane Wade,7892902,6500,Por@Chi 08:00PM ET,Chi,
,,,,,,,,,C,Rudy Gobert (7893160),Rudy Gobert,7893160,6500,Uta@LAL 10:30PM ET,Uta,
,,,,,,,,,C,Brook Lopez (7893131),Brook Lopez,7893131,6400,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,SF/PF,Jabari Parker (7892947),Jabari Parker,7892947,6300,SA@Mil 08:00PM ET,Mil,
,,,,,,,,,PF/C,LaMarcus Aldridge (7893043),LaMarcus Aldridge,7893043,6300,SA@Mil 08:00PM ET,SA,
,,,,,,,,,SG,Avery Bradley (7892917),Avery Bradley,7892917,6300,Bos@Hou 08:00PM ET,Bos,
,,,,,,,,,PG,Jrue Holiday (7892848),Jrue Holiday,7892848,6300,Mem@NO 08:00PM ET,NO,
,,,,,,,,,PG,D'Angelo Russell (7892858),D'Angelo Russell,7892858,6300,Uta@LAL 10:30PM ET,LAL,
,,,,,,,,,SF/PF,Harrison Barnes (7892953),Harrison Barnes,7892953,6200,Cha@Dal 08:30PM ET,Dal,
,,,,,,,,,PG,Dennis Schroder (7892796),Dennis Schroder,7892796,6100,OKC@Atl 07:30PM ET,Atl,
,,,,,,,,,C,Mason Plumlee (7893121),Mason Plumlee,7893121,6000,Por@Chi 08:00PM ET,Por,
,,,,,,,,,SG/SF,Tyreke Evans (7892890),Tyreke Evans,7892890,6000,Mem@NO 08:00PM ET,NO,
,,,,,,,,,PF,Julius Randle (7893106),Julius Randle,7893106,6000,Uta@LAL 10:30PM ET,LAL,
,,,,,,,,,PG,Jeremy Lin (7892815),Jeremy Lin,7892815,5900,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,SG,Sean Kilpatrick (7892910),Sean Kilpatrick,7892910,5900,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,C,Marcin Gortat (7893130),Marcin Gortat,7893130,5900,Was@Bkn 07:30PM ET,Was,
,,,,,,,,,PF,Trevor Booker (7893079),Trevor Booker,7893079,5800,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,SF,Jae Crowder (7893003),Jae Crowder,7893003,5800,Bos@Hou 08:00PM ET,Bos,
,,,,,,,,,SG,Lou Williams (7892941),Lou Williams,7892941,5800,Uta@LAL 10:30PM ET,LAL,
,,,,,,,,,PF,Derrick Favors (7893103),Derrick Favors,7893103,5800,Uta@LAL 10:30PM ET,Uta,
,,,,,,,,,C,Clint Capela (7893137),Clint Capela,7893137,5700,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,PF/C,Taj Gibson (7893044),Taj Gibson,7893044,5600,Por@Chi 08:00PM ET,Chi,
,,,,,,,,,SF/PF,Trevor Ariza (7892952),Trevor Ariza,7892952,5600,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,PG/SG,Jordan Clarkson (7892792),Jordan Clarkson,7892792,5600,Uta@LAL 10:30PM ET,LAL,
,,,,,,,,,PF,Thaddeus Young (7893073),Thaddeus Young,7893073,5500,Ind@GS 10:30PM ET,Ind,
